player,team,touches,touch_map_saved,error
Jenson Seelt,Wolfsburg,515,True,
Jeremy Arévalo,Stuttgart,35,True,
Jesper Lindstrøm,Wolfsburg,207,True,
Jessic Ngankam,Eintracht Frankfurt,29,True,
Joakim Mæhle,Wolfsburg,843,True,
Jobe Bellingham,Borussia Dortmund,1365,True,
Joe Scally,Borussia M.Gladbach,1571,True,
Joel Chima Fujita,St. Pauli,1694,True,
Johan Bakayoko,RBL,437,True,
Johan Manzambi,Freiburg,1495,True,
Jonas Adjetey,Wolfsburg,116,True,
Jonas Föhrenbach,FC Heidenheim,1326,True,
Jonas Hofmann,Leverkusen,736,True,
Jonas Meffert,Hamburg,93,True,
Jonas Urbig,Bayern,562,True,
Jonas Wind,Wolfsburg,210,True,
Jonathan Burkardt,Eintracht Frankfurt,400,True,
Jonathan Tah,Bayern,2176,True,
Jordan Torunarigha,Hamburg,1446,True,
Jordy Makengo,Freiburg,690,True,
Josha Vagnoman,Stuttgart,993,True,
Joshua Kimmich,Bayern,3073,True,
Josip Juranovic,Union Berlin,244,True,
Josip Stanisic,Bayern,1657,True,
Jovan Milosevic,Werder Bremen,179,True,
Joël Schmied,FC Koln,604,True,
Julian Brandt,Borussia Dortmund,1015,True,
Julian Niehues,FC Heidenheim,821,True,
Julian Ryerson,Borussia Dortmund,1683,True,
Julián Malatini,Werder Bremen,442,True,
Junior Adamu,Freiburg,188,True,
Justin Njinmah,Werder Bremen,803,True,
Jusuf Gazibegovic,FC Koln,14,True,
Kacper Potulski,Mainz,641,True,
Kaishu Sano,Mainz,1783,True,
Kamil Grabara,Wolfsburg,1501,True,
Karim Adeyemi,Borussia Dortmund,605,True,
Karim Coulibaly,Werder Bremen,1733,True,
Karl Hein,Werder Bremen,140,True,
Karol Mets,St. Pauli,1463,True,
Kauã Santos,Eintracht Frankfurt,566,True,
Keke Topp,Werder Bremen,329,True,
Kento Shiogai,Wolfsburg,126,True,
Keven Schlotterbeck,Augsburg,1562,True,
Kevin Akpoguma,Hoffenheim,57,True,
Kevin Diks,Borussia M.Gladbach,2000,True,
Kevin Paredes,Wolfsburg,107,True,
Kevin Stöger,Borussia M.Gladbach,1096,True,
Kilian Fischer,Wolfsburg,576,True,
Kim Min-Jae,Bayern,1802,True,
Koki Machida,Hoffenheim,43,True,
Konrad Laimer,Bayern,1863,True,
Konstantinos Koulierakis,Wolfsburg,1910,True,
Kosta Nedeljkovic,RBL,171,True,
Kota Takai,Borussia M.Gladbach,321,True,
Kristijan Jakic,Augsburg,986,True,
Kristoffer Lund,FC Koln,1542,True,
Lars Ritzka,St. Pauli,614,True,
Lasse Rieß,Mainz,129,True,
Lazar Jovanovic,Stuttgart,20,True,
Lee Jae-Sung,Mainz,1059,True,
Lennard Maloney,Mainz,252,True,
Lennart Karl,Bayern,1138,True,
Leon Avdullahu,Hoffenheim,2396,True,
Leon Goretzka,Bayern,1898,True,
Leonardo Bittencourt,Werder Bremen,530,True,
Leonidas Stergiou,FC Heidenheim,123,True,
Leopold Querfeld,Union Berlin,1706,True,
Linton Maina,FC Koln,476,True,
Livan Burcu,Union Berlin,376,True,
Lorenz Assignon,Stuttgart,823,True,
Louis Oppie,St. Pauli,1033,True,
Love Arrhov,Eintracht Frankfurt,34,True,
Lovro Majer,Wolfsburg,789,True,
Loïc Badé,Leverkusen,1691,True,
Loïs Openda,RBL,30,True,
Luca Jaquez,Stuttgart,829,True,
