player,team,touches,final_third_saved,avg_position_saved,error
Lewis Hall,Newcastle,2036,True,True,
Lewis Miley,Newcastle,1122,True,True,
Liam Delap,Chelsea,378,True,True,
Lisandro Martínez,Man Utd,1109,True,True,
Lorenzo Lucca,Nottingham Forest,38,True,True,
Loum Tchaouna,Burnley,582,True,True,
Luca Netz,Nottingham Forest,163,True,True,
Lucas Bergvall,Tottenham,495,True,True,
Lucas Digne,Aston Villa,1228,True,True,
Lucas Paquetá,West Ham,1145,True,True,
Lucas Perri,Leeds,699,False,True,
Lucas Pires,Burnley,960,True,True,
Lukas Nmecha,Leeds,415,True,True,
Luke O'Nien,Sunderland,363,True,True,
Luke Shaw,Man Utd,2329,True,True,
Lutsharel Geertruida,Sunderland,1008,True,True,
Luís Guilherme,West Ham,50,True,True,
Lyle Foster,Burnley,524,True,True,
Mads Hermansen,West Ham,804,False,True,
Malick Thiaw,Newcastle,2115,True,True,
Malo Gusto,Chelsea,1809,True,True,
Mamadou Sarr,Chelsea,63,True,True,
Manuel Ugarte,Man Utd,700,True,True,
Marc Cucurella,Chelsea,2032,True,True,
Marc Guiu,Chelsea,64,True,True,
Marc Guéhi,Crystal Palace,1339,True,True,
Marc Guéhi,Man City,1471,True,True,
Marco Bizot,Aston Villa,312,False,True,
Marcos Senesi,Bournemouth,2992,True,True,
Marcus Edwards,Burnley,554,True,True,
Marcus Tavernier,Bournemouth,1796,True,True,
Marshall Munetsi,Wolves,343,True,True,
Martin Dúbravka,Burnley,1584,False,True,
Martin Ødegaard,Arsenal,1000,True,True,
Martín Zubimendi,Arsenal,2332,True,True,
Mason Mount,Man Utd,610,True,True,
Mateo Kovacic,Man City,179,True,True,
Mateus Fernandes,West Ham,2124,True,True,
Mateus Mané,Wolves,908,True,True,
Matheus Cunha,Man Utd,1521,True,True,
Matheus Nunes,Man City,2895,True,True,
Mathias Jensen,Brentford,1604,True,True,
Mathys Tel,Tottenham,798,True,True,
Mats Wieffer,Brighton,1436,True,True,
Matt Doherty,Wolves,428,True,True,
Matt O'Riley,Brighton,108,True,True,
Matthijs de Ligt,Man Utd,791,True,True,
Matty Cash,Aston Villa,2173,True,True,
Matz Sels,Nottingham Forest,1038,False,True,
Max Alleyne,Man City,148,True,True,
Max Dowman,Arsenal,116,True,True,
Max Weiss,Burnley,146,False,True,
Maxence Lacroix,Crystal Palace,2224,True,True,
Maxim De Cuyper,Brighton,1022,True,True,
Maxime Estève,Burnley,1786,True,True,
Maximilian Kilman,West Ham,916,True,True,
Melker Ellborg,Sunderland,131,False,True,
Merlin Röhl,Everton,315,True,True,
Michael Kayode,Brentford,2195,True,True,
Michael Keane,Everton,1537,True,True,
Micky van de Ven,Tottenham,2150,True,True,
Mike Trésor,Burnley,42,True,True,
Mikel Merino,Arsenal,557,True,True,
Mikkel Damsgaard,Brentford,1424,True,True,
Milos Kerkez,Liverpool,1618,True,True,
Mohamadou Kanté,West Ham,57,True,True,
Mohamed Salah,Liverpool,1324,True,True,
Mohammed Kudus,Tottenham,937,True,True,
Moisés Caicedo,Chelsea,2508,True,True,
Morato,Nottingham Forest,977,True,True,
Morgan Gibbs-White,Nottingham Forest,1750,True,True,
Morgan Rogers,Aston Villa,1816,True,True,
Murillo,Nottingham Forest,1483,True,True,
Myles Lewis-Skelly,Arsenal,507,True,True,
Nathan Aké,Man City,608,True,True,
Nathan Collins,Brentford,2247,True,True,
Nathan Patterson,Everton,148,True,True,
Nathaniel Clyne,Crystal Palace,302,True,True,
Nayef Aguerd,West Ham,145,True,True,
Neco Williams,Nottingham Forest,2400,True,True,
Nick Pope,Newcastle,989,True,True,
Nick Woltemade,Newcastle,681,True,True,
Niclas Füllkrug,West Ham,144,True,True,
Nico González,Man City,1576,True,True,
Nico O'Reilly,Man City,2072,True,True,
Nicolás Domínguez,Nottingham Forest,735,True,True,
Nicolò Savona,Nottingham Forest,638,True,True,
Nikola Milenkovic,Nottingham Forest,1979,True,True,
Nilson Angulo,Sunderland,179,True,True,
Noah Okafor,Leeds,713,True,True,
Noah Sadiki,Sunderland,1553,True,True,
Noni Madueke,Arsenal,750,True,True,
Nordi Mukiele,Sunderland,2024,True,True,
Noussair Mazraoui,Man Utd,801,True,True,
Ola Aina,Nottingham Forest,1097,True,True,
Oleksandr Zinchenko,Nottingham Forest,360,True,True,
Oliver Sonne,Burnley,98,True,True,
Olivier Boscagli,Brighton,904,True,True,
Ollie Scarles,West Ham,501,True,True,
Ollie Watkins,Aston Villa,890,True,True,
Omar Alderete,Sunderland,1783,True,True,
Omar Marmoush,Man City,329,True,True,
Omari Hutchinson,Nottingham Forest,1020,True,True,
Oscar Bobb,Fulham,320,True,True,
Oscar Bobb,Man City,313,True,True,
Pablo,West Ham,366,True,True,
Pape Matar Sarr,Tottenham,909,True,True,
Pascal Groß,Brighton,1396,True,True,
Pascal Struijk,Leeds,2296,True,True,
Patrick Dorgu,Man Utd,988,True,True,
Patrick Roberts,Sunderland,23,True,True,
Pau Torres,Aston Villa,1351,True,True,
Pedro Lima,Wolves,136,True,True,
Pedro Neto,Chelsea,1521,True,True,
Pedro Porro,Tottenham,2434,True,True,
Phil Foden,Man City,1667,True,True,
Piero Hincapié,Arsenal,1255,True,True,
Quilindschy Hartman,Burnley,1199,True,True,
Radu Dragusin,Tottenham,347,True,True,
Randal Kolo Muani,Tottenham,680,True,True,
Rayan,Bournemouth,540,True,True,
Rayan Aït-Nouri,Man City,878,True,True,
Rayan Cherki,Man City,1766,True,True,
Raúl Jiménez,Fulham,929,True,True,
Reece James,Chelsea,1851,True,True,
Reinildo Mandava,Sunderland,1269,True,True,
Reiss Nelson,Brentford,115,True,True,
Riccardo Calafiori,Arsenal,1164,True,True,
Richarlison,Tottenham,728,True,True,
Rico Henry,Brentford,818,True,True,
Rico Lewis,Man City,388,True,True,
Rio Cardines,Crystal Palace,58,True,True,
Rio Ngumoha,Liverpool,360,True,True,
Robert Sánchez,Chelsea,1677,False,True,
Robin Roefs,Sunderland,1690,False,True,
Rodri,Man City,1873,True,True,
Rodrigo Bentancur,Tottenham,1339,True,True,
Rodrigo Gomes,Wolves,485,True,True,
Rodrigo Muniz,Fulham,332,True,True,
Romain Esse,Crystal Palace,38,True,True,
Romaine Mundle,Sunderland,208,True,True,
Romelle Donovan,Brentford,34,True,True,
Roméo Lavia,Chelsea,349,True,True,
Ross Barkley,Aston Villa,543,True,True,
Ryan Christie,Bournemouth,786,True,True,
Ryan Gravenberch,Liverpool,2379,True,True,
Ryan Sessegnon,Fulham,1247,True,True,
Ryan Yates,Nottingham Forest,377,True,True,
Rúben Dias,Man City,2014,True,True,
Sam Byram,Leeds,10,False,True,
Sam Johnstone,Wolves,576,False,True,
Samuel Chukwueze,Fulham,638,True,True,
Sander Berge,Fulham,2076,True,True,
Sandro Tonali,Newcastle,2037,True,True,
Santiago Bueno,Wolves,1435,True,True,
Sasa Kalajdzic,Wolves,11,True,True,
Sasa Lukic,Fulham,1059,True,True,
Savinho,Man City,609,True,True,
Sean Longstaff,Leeds,667,True,True,
Sebastiaan Bornauw,Leeds,224,True,True,
Senne Lammens,Man Utd,1180,True,True,
Sepp van den Berg,Brentford,1815,True,True,
Shea Lacey,Man Utd,27,True,True,
Simon Adingra,Sunderland,310,True,True,
Solly March,Brighton,27,True,True,
Soungoutou Magassa,West Ham,594,True,True,
Souza,Tottenham,49,True,True,
