player,team,touches,touch_map_saved,error
Sergio Bermejo,Gil Vicente,210,True,
Sidi Bane,AVS Futebol SAD,330,True,
Sidney Lima,Santa Clara,1967,True,
Sidny Cabral,Benfica,291,True,
Sidny Cabral,Estrela da Amadora,833,True,
Sikou Niakaté,Braga,864,True,
Simon Elisor,Famalicao,604,True,
Simão,AVS Futebol SAD,464,True,
Sorriso,Famalicao,1583,True,
Souleymane Faye,Sporting,54,True,
Stefan Lekovic,Estrela da Amadora,513,True,
Stephen Eustaquio,Porto,155,True,
Steven Baseya,Alverca,380,True,
Stéphane Diarra,Alverca,24,True,
Sydney van Hooijdonk,Estrela da Amadora,96,True,
Taichi Fukui,Arouca,1635,True,
Tamble Monteiro,Rio Ave,293,True,
Tamás Nikitscher,Rio Ave,850,True,
Telmo Arcanjo,Vitoria de Guimaraes,721,True,
Terem Moffi,Porto,66,True,
Theofanis Bakoulas,Rio Ave,86,True,
Thiago Balieiro,Vitoria de Guimaraes,853,True,
Thiago Silva,Porto,578,True,
Tiago Brito,Estoril,82,True,
Tiago Duarte,Santa Clara,16,True,
Tiago Esgaio,Arouca,1683,True,
Tiago Galletto,AVS Futebol SAD,238,True,
Tiago Leite,Alverca,63,True,
Tiago Manso,Tondela,987,True,
Tiago Morais,Casa Pia AC,297,True,
Tiago Parente,Estoril,288,True,
Tiago Silva,Porto,29,True,
Tiago Silva,Vitoria de Guimaraes,257,True,
Tiago Sá,Braga,56,True,
Tidjany Touré,Gil Vicente,276,True,
Tobías Medina,Rio Ave,11,True,
Tom Moustier,Estrela da Amadora,120,True,
Tom van de Looi,Famalicao,1702,True,
Tomané,AVS Futebol SAD,833,True,
Tomás Araújo,Benfica,1389,True,
Tomás Händel,Vitoria de Guimaraes,145,True,
Tomás Mendes,Alverca,140,True,
Toni Borevkovic,Vitoria de Guimaraes,61,True,
Tony Strata,Vitoria de Guimaraes,1056,True,
Trincão,Sporting,1945,True,
Tunde Akinsola,AVS Futebol SAD,1013,True,
Ulisses,Nacional,153,True,
Umar Abubakar,Famalicao,170,True,
Vando Félix,Vitoria de Guimaraes,219,True,
Vangelis Pavlidis,Benfica,1045,True,
Vasco Moreira,Alverca,268,True,
Vasco Sousa,Moreirense,275,True,
Victor Froholdt,Porto,1364,True,
Vinícius Lopes,Santa Clara,756,True,
Víctor Gómez,Braga,2168,True,
Vítor Carvalho,Braga,1014,True,
Welinton Torrão,Santa Clara,313,True,
Wendel,Santa Clara,275,True,
Weverson,Gil Vicente,18,True,
William Gomes,Porto,637,True,
Witi,Nacional,424,True,
Xabi Huarte,Tondela,64,True,
Xander Severina,Casa Pia AC,43,True,
Xeka,Estoril,468,True,
Yahya Kalley,Estrela da Amadora,26,True,
Yanis Begraoui,Estoril,1032,True,
Yanis da Rocha,Braga,66,True,
Yarlen,Tondela,194,True,
Yassin Oukili,Casa Pia AC,178,True,
Yassir Zabiri,Famalicao,213,True,
Yaya Sithole,Tondela,890,True,
Yefrei Rodriguez,Tondela,131,True,
Yellu Santiago,Arouca,22,True,
Zaidu Sanusi,Porto,695,True,
Zakaria Kassary,Alverca,14,True,
Zeega,Vitoria de Guimaraes,23,True,
Zeno Debast,Sporting,1191,True,
Zé Carlos,Gil Vicente,834,True,
Zé Carlos I,Gil Vicente,1551,True,
Zé Pedro,Porto,25,True,
Zé Vítor,Nacional,1798,True,
Álvaro Martínez,Moreirense,707,True,
Ángel Alarcón,Porto,41,True,
Ángel Algobia,AVS Futebol SAD,511,True,
Óscar Aranda,Famalicao,12,True,
Óscar Perea,AVS Futebol SAD,549,True,
Óscar Rivas,Vitoria de Guimaraes,1295,True,
