player,team,touches,touch_map_saved,error
Illia Zabarnyi,PSG,2470,True,
Ilyas Azizi,Toulouse,23,True,
Isaak Touré,Lorient,21,True,
Isak Jansson,Nice,269,True,
Ismaël Doukouré,Strasbourg,1746,True,
Ismaël Guerti,Metz,35,True,
Ismaëlo Ganiou,Lens,1676,True,
Issa Soumaré,Le Havre,1269,True,
Jacen Russell-Rowe,Toulouse,164,True,
Jacques Ekomié,Angers,1324,True,
Jahyann Pandore,Metz,66,True,
Jaydee Canvot,Toulouse,132,True,
Jean-Philippe Gbamin,Metz,2141,True,
Jean-Philippe Krasso,Paris FC,478,True,
Jean-Victor Makengo,Lorient,872,True,
Jeffrey de Lange,Marseille,166,True,
Jessy Deminguet,Metz,1177,True,
Jim Allevinah,Angers,49,True,
Joaquín Panichelli,Strasbourg,840,True,
Joel Asoro,Metz,60,True,
Joel Mvuka,Lorient,275,True,
Johann Lepenant,Nantes,1310,True,
Jonathan Clauss,Nice,2079,True,
Jonathan Fischer,Metz,1189,True,
Jonathan Gradit,Lens,605,True,
Jonathan Ikoné,Paris FC,575,True,
Jonathan Rowe,Marseille,47,True,
Jordan Lefort,Angers,2407,True,
Jordan Teze,Monaco,1830,True,
Joris Chotard,Brest,1620,True,
Josué Casimir,Auxerre,775,True,
João Neves,PSG,1257,True,
Julien Le Cardinal,Brest,208,True,
Julien Lopez,Paris FC,21,True,
Julio Enciso,Strasbourg,1083,True,
Julián Vignolo,Toulouse,92,True,
Juma Bah,Nice,1484,True,
Junior Diaz,Brest,883,True,
Junior Dina Ebimbe,Brest,465,True,
Junior Mwanga,Nantes,724,True,
Junior Mwanga,Strasbourg,313,True,
Justin Bourgault,Brest,11,True,
Justin Kalumba,Angers,144,True,
Jérémie Boga,Nice,299,True,
Jérémy Jacquet,Rennes,1322,True,
Kamory Doumbia,Brest,1094,True,
Karl-Johan Johnsson,Strasbourg,40,True,
Kassoum Ouattara,Monaco,752,True,
Kaïl Boudache,Nice,254,True,
Kelvin Amian,Nantes,1252,True,
Kendry Páez,Strasbourg,267,True,
Kenny Lala,Brest,1924,True,
Kenny Quetant,Le Havre,108,True,
Kevin Carlos,Nice,288,True,
Kevin Trapp,Paris FC,990,True,
Khalis Merah,Lyon,659,True,
Khvicha Kvaratskhelia,PSG,1283,True,
Kjetil Haug,Toulouse,15,True,
Koffi Kouao,Metz,1713,True,
Kojo Peprah Oppong,Nice,1815,True,
Krépin Diatta,Monaco,751,True,
Kwon Hyeok-Kyu,Nantes,321,True,
Kyllian Antonio,Lens,129,True,
Kévin Danois,Auxerre,2097,True,
Lamine Camara,Monaco,1704,True,
Lamine Sy,Auxerre,989,True,
Lanroy Machine,Angers,227,True,
Lassine Sinayoko,Auxerre,1337,True,
Lasso Coulibaly,Auxerre,214,True,
Laurent Abergel,Lorient,1942,True,
Lee Kang-In,PSG,1400,True,
Leonardo Balerdi,Marseille,1827,True,
Lilian Brassier,Rennes,1969,True,
Lilian Raolisoa,Angers,1113,True,
Lionel Mpasi,Le Havre,195,True,
Lohann Doucet,Paris FC,72,True,
Louis Leroux,Nantes,760,True,
Louis Mouton,Angers,986,True,
Loïc Négo,Le Havre,1597,True,
Luca Koleosho,Paris FC,312,True,
Lucas Chevalier,PSG,512,True,
Lucas Gourna-Douath,Le Havre,781,True,
Lucas Hernández,PSG,1986,True,
Lucas Høgsberg,Strasbourg,1517,True,
Lucas Michal,Metz,114,True,
Lucas Michal,Monaco,41,True,
Lucas Tousart,Brest,420,True,
Luck Zogbé,Brest,220,True,
Ludovic Ajorque,Brest,1190,True,
Ludovic Blas,Rennes,1049,True,
Lukás Hrádecky,Monaco,587,True,
Maghnes Akliouche,Monaco,1595,True,
Mahdi Camara,Rennes,1638,True,
Malang Sarr,Lens,2478,True,
Malick Fofana,Lyon,378,True,
Malick Mbaye,Metz,160,True,
Mama Baldé,Brest,315,True,
Mamadou Coulibaly,Monaco,955,True,
Mamadou Sangaré,Lens,1960,True,
Mamadou Sarr,Strasbourg,1139,True,
Marius Broholm,Lille,198,True,
Marius Courcoul,Angers,220,True,
Marius Louër,Angers,325,True,
Mark McKenzie,Toulouse,1612,True,
Marquinhos,PSG,1042,True,
Marshall Munetsi,Paris FC,378,True,
Martial Godo,Strasbourg,766,True,
Martín Satriano,Lyon,258,True,
Marvin Senaya,Auxerre,1115,True,
Mason Greenwood,Marseille,1808,True,
Mathieu Acapandié,Nantes,158,True,
Mathieu Cafaro,Paris FC,85,True,
Mathieu Gorgelin,Lens,51,True,
Mathis Amougou,Strasbourg,300,True,
Mathis Jangéal,PSG,13,True,
Mathys Silistre,Rennes,83,True,
Mathys de Carvalho,Lyon,252,True,
Matias Fernandez-Pardo,Lille,1060,True,
Matt O'Riley,Marseille,543,True,
Matthieu Udol,Lens,2086,True,
Matthis Abline,Nantes,980,True,
Matvey Safonov,PSG,493,True,
Maxi Oyedele,Strasbourg,365,True,
Maxima Goffi,Lille,33,True,
Maxime Colin,Metz,1276,True,
Maxime Dupé,Nice,312,True,
Maxime Lopez,Paris FC,1942,True,
Mayckel Lahdo,Nantes,172,True,
Mbwana Samatta,Le Havre,504,True,
Melvin Bard,Nice,1772,True,
Melvin Zinga,Angers,91,True,
Michel Mboula,Metz,694,True,
Mika Biereth,Monaco,368,True,
Mikayil Faye,Rennes,10,True,
Mike Penders,Strasbourg,1661,True,
Mohamed Bamba,Lorient,226,True,
Mohamed Kaba,Nantes,475,True,
Mohamed Meïté,Rennes,183,True,
Mohamed-Ali Cho,Nice,797,True,
Mohammed Salisu,Monaco,1009,True,
Montassar Talbi,Lorient,1804,True,
Morgan Bokele,Metz,154,True,
Morgan Guilavogui,Lens,311,True,
Morgan Sanson,Nice,978,True,
Mory Diaw,Le Havre,1289,True,
Moses Simon,Paris FC,953,True,
Mostafa Mohamed,Nantes,416,True,
Mousa Al Tamari,Rennes,1178,True,
Moussa Niakhaté,Lyon,2512,True,
Moustapha Mbow,Paris FC,1886,True,
Moïse Bombito,Nice,81,True,
Mário Sauer,Toulouse,339,True,
Nabil Bentaleb,Lille,1123,True,
Naouirou Ahamada,Auxerre,366,True,
Nathan Mbala,Metz,202,True,
Nathan Ngoy,Lille,1930,True,
Nathaniel Adjei,Lorient,522,True,
Nayef Aguerd,Marseille,1501,True,
Ngal'ayel Mukau,Lille,859,True,
Nhoa Sangui,Paris FC,1105,True,
Nicolas Cozza,Nantes,1313,True,
Nicolás Tagliafico,Lyon,1005,True,
Nidal Celik,Lens,412,True,
Noah Cadiou,Lorient,1412,True,
Noah Edjouma,Lille,55,True,
Noah Edjouma,Toulouse,151,True,
Noah Nartey,Lyon,329,True,
Noam Obougou,Le Havre,41,True,
Nordan Mukiele,Rennes,76,True,
Nouha Dicko,Paris FC,28,True,
Nouhoum Kamissoko,Marseille,29,True,
Nuno Mendes,PSG,1356,True,
Obed Nkambadio,Paris FC,579,True,
Odsonne Édouard,Lens,582,True,
Olivier Giroud,Lille,531,True,
Orel Mangala,Lyon,285,True,
Osame Sahraoui,Lille,420,True,
Otávio,Paris FC,1627,True,
Oumar Pona,Angers,69,True,
Ousmane Camara,Angers,1697,True,
Ousmane Dembélé,PSG,941,True,
Ousmane Touré,Lille,44,True,
Oussama El Azzouzi,Auxerre,513,True,
Pablo Pagis,Lorient,1092,True,
Pablo Rosario,Nice,25,True,
Panos Katseris,Lorient,477,True,
Pape Cabral,Monaco,71,True,
Pape Diop,Toulouse,880,True,
Pape Sy,Metz,305,True,
Paris Brunner,Monaco,62,True,
Pathé Mboup,Brest,563,True,
Patrik Carlgren,Nantes,95,True,
Paul Argney,Le Havre,37,True,
Paul Pogba,Monaco,135,True,
Pavel Sulc,Lyon,641,True,
Philipp Köhn,Monaco,631,True,
Pierre Lees-Melou,Brest,138,True,
Pierre Lees-Melou,Paris FC,1224,True,
Pierre-Emerick Aubameyang,Marseille,703,True,
Pierre-Emile Højbjerg,Marseille,2628,True,
Pierre-Yves Hamel,Paris FC,12,True,
Pierrick Capelle,Angers,349,True,
Pol Lirola,Marseille,29,True,
Prosper Peter,Angers,433,True,
Przemyslaw Frankowski,Rennes,1006,True,
Quentin Merlin,Rennes,2175,True,
Quentin Ndjantou,PSG,252,True,
Quinten Timber,Marseille,708,True,
Rabby Nzingoula,Strasbourg,39,True,
Rachid Ghezzal,Lyon,162,True,
Radoslaw Majecki,Brest,386,True,
Rafael Luís,Strasbourg,480,True,
Rafik Messali,Toulouse,288,True,
Raphaël Le Guen,Brest,243,True,
Rasmus Nicolaisen,Toulouse,1637,True,
Rassoul Ndiaye,Le Havre,1322,True,
Rayan Fofana,Lens,353,True,
Reda Khadra,Le Havre,124,True,
Renato Marin,PSG,48,True,
Robin Risser,Lens,1122,True,
Robinio Vaz,Marseille,146,True,
Romain Del Castillo,Brest,1732,True,
Romain Faivre,Auxerre,299,True,
Romain Perraud,Lille,1818,True,
