player,team,touches,touch_map_saved,error
Wilson Odobert,Tottenham,548,True,
Xavi Simons,Tottenham,1274,True,
Yankuba Minteh,Brighton,1311,True,
Yasin Ayari,Brighton,1325,True,
Yehor Yarmoliuk,Brentford,1785,True,
Yerson Mosquera,Wolves,1405,True,
Yoane Wissa,Newcastle,162,True,
Youri Tielemans,Aston Villa,1488,True,
Yves Bissouma,Tottenham,408,True,
Yéremy Pino,Crystal Palace,1265,True,
Zach Abbott,Nottingham Forest,107,True,
Zeki Amdouni,Burnley,36,True,
Zian Flemming,Burnley,589,True,
Álex Jiménez,Bournemouth,1478,True,
